Stack                                                                                                                                                  Input                                                                                                                    Rule
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
$ Program                                                                                                                                              int z = 5 ; return 0 ; $                                                                                                 Program → Declaration Program_Tail
$ Program_Tail Declaration                                                                                                                             int z = 5 ; return 0 ; $                                                                                                 Declaration → Variable_Declaration
$ Program_Tail Variable_Declaration                                                                                                                    int z = 5 ; return 0 ; $                                                                                                 Variable_Declaration → Type Identifier Variable_Declaration_Tail
$ Program_Tail Variable_Declaration_Tail Identifier Type                                                                                               int z = 5 ; return 0 ; $                                                                                                 Type → int
$ Program_Tail Variable_Declaration_Tail Identifier int                                                                                                int z = 5 ; return 0 ; $                                                                                                 Match: int
$ Program_Tail Variable_Declaration_Tail Identifier                                                                                                    z = 5 ; return 0 ; $                                                                                                     Identifier → id
$ Program_Tail Variable_Declaration_Tail id                                                                                                            z = 5 ; return 0 ; $                                                                                                     Match: id
$ Program_Tail Variable_Declaration_Tail                                                                                                               = 5 ; return 0 ; $                                                                                                       Variable_Declaration_Tail → = Expression End_Line
$ Program_Tail End_Line Expression =                                                                                                                   = 5 ; return 0 ; $                                                                                                       Match: =
$ Program_Tail End_Line Expression                                                                                                                     5 ; return 0 ; $                                                                                                         Expression → Term Expression_Tail
$ Program_Tail End_Line Expression_Tail Term                                                                                                           5 ; return 0 ; $                                                                                                         Term → Factor Term_Tail
$ Program_Tail End_Line Expression_Tail Term_Tail Factor                                                                                               5 ; return 0 ; $                                                                                                         Factor → Number
$ Program_Tail End_Line Expression_Tail Term_Tail Number                                                                                               5 ; return 0 ; $                                                                                                         Number → num
$ Program_Tail End_Line Expression_Tail Term_Tail num                                                                                                  5 ; return 0 ; $                                                                                                         Match: num
$ Program_Tail End_Line Expression_Tail Term_Tail                                                                                                      ; return 0 ; $                                                                                                           Term_Tail → ε
$ Program_Tail End_Line Expression_Tail                                                                                                                ; return 0 ; $                                                                                                           Expression_Tail → ε
$ Program_Tail End_Line                                                                                                                                ; return 0 ; $                                                                                                           End_Line → ;
$ Program_Tail ;                                                                                                                                       ; return 0 ; $                                                                                                           Match: ;
$ Program_Tail                                                                                                                                         return 0 ; $                                                                                                             Program_Tail → Program
$ Program                                                                                                                                              return 0 ; $                                                                                                             Program → Statement Program_Tail
$ Program_Tail Statement                                                                                                                               return 0 ; $                                                                                                             Statement → Return_Statement
$ Program_Tail Return_Statement                                                                                                                        return 0 ; $                                                                                                             Return_Statement → return Expression End_Line
$ Program_Tail End_Line Expression return                                                                                                              return 0 ; $                                                                                                             Match: return
$ Program_Tail End_Line Expression                                                                                                                     0 ; $                                                                                                                    Expression → Term Expression_Tail
$ Program_Tail End_Line Expression_Tail Term                                                                                                           0 ; $                                                                                                                    Term → Factor Term_Tail
$ Program_Tail End_Line Expression_Tail Term_Tail Factor                                                                                               0 ; $                                                                                                                    Factor → Number
$ Program_Tail End_Line Expression_Tail Term_Tail Number                                                                                               0 ; $                                                                                                                    Number → num
$ Program_Tail End_Line Expression_Tail Term_Tail num                                                                                                  0 ; $                                                                                                                    Match: num
$ Program_Tail End_Line Expression_Tail Term_Tail                                                                                                      ; $                                                                                                                      Term_Tail → ε
$ Program_Tail End_Line Expression_Tail                                                                                                                ; $                                                                                                                      Expression_Tail → ε
$ Program_Tail End_Line                                                                                                                                ; $                                                                                                                      End_Line → ;
$ Program_Tail ;                                                                                                                                       ; $                                                                                                                      Match: ;
$ Program_Tail                                                                                                                                         $                                                                                                                        Program_Tail → ε
$                                                                                                                                                      $                                                                                                                        Parsing complete
